timestamp,qber,skr,loss,source,feat_hour,feat_day_of_week,feat_day_of_year,feat_is_night,feat_time_segment,feat_qber_lag_1,feat_qber_lag_2,feat_qber_lag_3,feat_qber_lag_6,feat_qber_lag_12,feat_qber_lag_24,feat_qber_lag_48,feat_skr_lag_1,feat_skr_lag_2,feat_skr_lag_3,feat_skr_lag_6,feat_skr_lag_12,feat_skr_lag_24,feat_skr_lag_48,feat_loss_lag_1,feat_loss_lag_2,feat_loss_lag_3,feat_loss_lag_6,feat_loss_lag_12,feat_loss_lag_24,feat_loss_lag_48,feat_qber_delta,feat_qber_pct,feat_skr_delta,feat_skr_pct,feat_loss_delta,feat_loss_pct,feat_qber_roll5_mean,feat_qber_roll5_std,feat_qber_roll5_min,feat_qber_roll5_max,feat_qber_roll5_median,feat_qber_roll5_z,feat_skr_roll5_mean,feat_skr_roll5_std,feat_skr_roll5_min,feat_skr_roll5_max,feat_skr_roll5_median,feat_skr_roll5_z,feat_loss_roll5_mean,feat_loss_roll5_std,feat_loss_roll5_min,feat_loss_roll5_max,feat_loss_roll5_median,feat_loss_roll5_z,feat_qber_roll10_mean,feat_qber_roll10_std,feat_qber_roll10_min,feat_qber_roll10_max,feat_qber_roll10_median,feat_qber_roll10_z,feat_skr_roll10_mean,feat_skr_roll10_std,feat_skr_roll10_min,feat_skr_roll10_max,feat_skr_roll10_median,feat_skr_roll10_z,feat_loss_roll10_mean,feat_loss_roll10_std,feat_loss_roll10_min,feat_loss_roll10_max,feat_loss_roll10_median,feat_loss_roll10_z,feat_qber_roll20_mean,feat_qber_roll20_std,feat_qber_roll20_min,feat_qber_roll20_max,feat_qber_roll20_median,feat_qber_roll20_z,feat_skr_roll20_mean,feat_skr_roll20_std,feat_skr_roll20_min,feat_skr_roll20_max,feat_skr_roll20_median,feat_skr_roll20_z,feat_loss_roll20_mean,feat_loss_roll20_std,feat_loss_roll20_min,feat_loss_roll20_max,feat_loss_roll20_median,feat_loss_roll20_z,feat_qber_skr_ratio,feat_loss_skr_ratio,feat_qber_loss_product,feat_skr_inv,feat_loss_gradient,feat_qber_z_global,feat_skr_z_global,feat_loss_z_global,anomaly_score,is_anomaly
,0.015,3063.991,14.0,QTI,0,1,252,1,0,0.0148,0.015,0.0153,0.0146,0.015,0.0157,0.0151,3390.1904,3960.3366,2542.9664,2954.7253,2784.6516,3354.5008,3432.7488,14.0,14.0,14.0,14.4,14.4,14.3,12.7,0.0001999999999999,0.0135135135135133,-326.1994,-0.0962186076628616,0.0,0.0,0.01514,0.0003130495168426,0.0148,0.0156,0.015,-0.4472135955103713,2989.7449,759.0356051336719,1991.2401,3960.3366,3063.991,0.0978163599939749,13.96,0.0894427190999793,13.8,14.0,14.0,0.4472135955000293,0.0149399999999999,0.0003238655413776,0.0146,0.0156,0.01495,0.1852620681557651,3260.59444,638.1386217756811,1991.2401,3993.189,3413.99845,-0.3080889218911906,14.18,0.2394437999475723,13.8,14.4,14.2,-0.7517421626261093,0.01505,0.0003790570016814,0.0145,0.0159,0.015,-0.1319062826387649,3215.5145700000003,751.0509136556869,1072.7657,3993.189,3457.31655,-0.2017487326690944,14.035,0.465973796417103,13.2,14.4,14.3,-0.0751115197230337,4.895575737657193e-06,0.0045692040218133,0.21,0.0003263717158438,0.0,-8.353958330326758,-8.855463877676986,0.3306292241638239,0.0634312394149024,1
,0.0149,3777.5994,14.2,QTI,3,1,252,1,0,0.0152,0.0151,0.0147,0.0154,0.0148,0.015,0.0157,3405.1509,3905.1101,3461.3943,3638.5187,2097.8695,3437.8065,3664.0454,14.2,14.2,14.2,14.2,14.0,14.4,12.7,-0.0002999999999999,-0.0197368421052631,372.4485,0.1093779720599166,0.0,0.0,0.01494,0.000207364413522,0.0147,0.0152,0.0149,-0.192897128878564,3513.489,347.4525863560426,3018.1903,3905.1101,3461.3943,0.7601336423190704,14.2,0.0,14.2,14.2,14.2,,0.01502,0.0002201009869295,0.0147,0.0154,0.01505,-0.5452042795175126,3516.0458100000005,336.24320785511486,2911.6656,3905.1101,3573.7513,0.7778702554869193,14.2,0.0,14.2,14.2,14.2,,0.015065,0.0002870448341976,0.0147,0.0159,0.015,-0.5748230950096077,3295.30035,574.8277510809155,2097.8695,3960.3366,3433.2726,0.839032299837781,14.06,0.2257152374587318,13.2,14.2,14.1,0.6202505492151241,3.944303887807691e-06,0.0037590010205952,0.21158,0.000264718381732,0.0,-8.418088980423189,-8.843430322534152,0.6478996917957782,0.0632645255445952,1
,0.0148,4166.012,14.2,QTI,4,1,252,1,0,0.0152,0.0152,0.0149,0.0152,0.015,0.0153,0.0155,3001.9177,3804.1452,3422.1438,3405.1509,3530.0416,2542.9664,2300.1318,14.2,14.2,14.2,14.2,14.2,14.0,14.3,-0.0003999999999999,-0.0263157894736841,1164.0942999999995,0.3877835491625903,0.0,0.0,0.0149799999999999,0.0002049390153079,0.0148,0.0152,0.0149,-0.8783100657019954,3552.3481,445.5537884736233,3001.9177,4166.012,3422.1438,1.3773059861128942,14.2,0.0,14.2,14.2,14.2,,0.01496,0.0001955050439889,0.0147,0.0152,0.0149,-0.8183932073333653,3532.91855,377.2327552830682,3001.9177,4166.012,3441.76905,1.67825683515987,14.2,0.0,14.2,14.2,14.2,,0.01504,0.0002872739385793,0.0147,0.0159,0.01495,-0.8354395152823314,3341.7328150000003,559.6939758977521,2097.8695,4166.012,3441.76905,1.472731922257786,14.11,0.229186203313971,13.2,14.2,14.2,0.3926937952574107,3.5525581779409184e-06,0.0034085355491054,0.2101599999999999,0.0002400377147257,0.0,-8.48221963051962,-8.836880533545859,0.6478996917957782,0.0631411062706723,1
,0.0155,4218.231,14.2,QTI,6,1,252,1,1,0.0149,0.0147,0.0149,0.0146,0.0148,0.0159,0.0151,2957.1,3498.1765,3528.2969,3349.7723,3367.5218,2510.9881,3891.8308,14.2,14.2,14.2,14.2,14.2,14.0,14.3,0.0005999999999999,0.0402684563758388,1261.131,0.426475601095668,0.0,0.0,0.015,0.0002999999999923,0.0147,0.0155,0.0149,1.666666666709391,3550.15948,447.55465357578527,2957.1,4218.231,3528.2969,1.4927149447835515,14.2,0.0,14.2,14.2,14.2,,0.0149399999999999,0.0002716206505048,0.0146,0.0155,0.0149,2.06169891338925,3531.15621,419.8566059652335,2957.1,4218.231,3513.2367,1.636451065049798,14.2,0.0,14.2,14.2,14.2,,0.0149599999999999,0.0002458069417835,0.0146,0.0155,0.0149,2.196846012898356,3550.33314,349.50674713238936,2957.1,4218.231,3513.2367,1.9109727222147364,14.2,0.0,14.2,14.2,14.2,,3.674526122443271e-06,0.0033663400605609,0.2201,0.0002370662014479,0.0,-8.033305079844602,-8.835999966254324,0.6478996917957782,0.0629580883485859,1
,0.0151,3617.461,14.2,QTI,2,1,252,1,0,0.0152,0.0153,0.0159,0.0149,0.0156,0.0153,0.0155,2911.6656,2266.6518,2510.9881,3800.4584,1991.2401,2330.9238,3655.5779,14.2,13.2,14.0,14.0,13.8,13.2,12.7,-9.99999999999994e-05,-0.006578947368421,705.7954,0.2424026303020512,0.0,0.0,0.01526,0.0004037325847581,0.0148,0.0159,0.0152,-0.3963019236999446,2680.9272,606.3817815280473,2097.8695,3617.461,2510.9881,1.54446229838896,13.919999999999998,0.4147288270665523,13.2,14.2,14.0,0.675139951038583,0.01511,0.0003414023367794,0.0148,0.0159,0.01505,-0.0292909535837849,3077.13725,627.1649558219659,2097.8695,3875.6068,3150.24045,0.8615337081324141,13.96,0.279682359512041,13.2,14.2,14.0,0.8581163303210319,0.015,0.0003554093266518,0.0145,0.0159,0.01495,0.2813657169384393,3190.101465,627.0484247851468,1991.2401,3993.189,3364.9625,0.6815415175413787,14.110000000000005,0.2936162909577549,13.2,14.4,14.0,0.3065225015492936,4.174198422595296e-06,0.0039254051391293,0.21442,0.0002764369816288,0.0,-8.289827680230326,-8.84613073114325,0.6478996917957782,0.062952249353109,1
,0.0154,3684.309,14.2,QTI,7,1,252,0,1,0.0149,0.0148,0.0148,0.0149,0.0147,0.0154,0.0149,4006.2195,2674.9481,3590.7734,2957.1,3338.134,3638.5187,3655.1365,14.2,14.2,14.2,14.2,14.2,14.2,13.2,0.0005,0.0335570469798658,-321.9105,-0.0803526866163972,0.0,0.0,0.01504,0.0002880972058097,0.0148,0.0154,0.0149,1.2495782421357406,3510.5665,496.97795927100856,2674.9481,4006.2195,3596.5825,0.3495979987821879,14.2,0.0,14.2,14.2,14.2,,0.01502,0.0002780887148667,0.0147,0.0155,0.0149,1.366470409207705,3530.36299,446.3541229856293,2674.9481,4218.231,3569.8832,0.3448965789097382,14.2,0.0,14.2,14.2,14.2,,0.0149799999999999,0.0002483630619148,0.0146,0.0155,0.0149,1.6910727253955875,3532.047785,381.5731185123454,2674.9481,4218.231,3538.64495,0.3990354865500666,14.2,0.0,14.2,14.2,14.2,,4.1798882775576096e-06,0.0038541826974881,0.2186799999999999,0.0002714213167245,0.0,-8.097435729941033,-8.845003475502498,0.6478996917957782,0.0629338746696224,1
,0.0147,3461.3943,14.2,QTI,3,1,252,1,0,0.0148,0.0148,0.0154,0.0152,0.0153,0.0148,0.0153,3018.1903,3895.3262,3638.5187,2911.6656,3875.6068,3339.7346,3625.1249,14.2,14.2,14.2,14.2,14.0,14.4,12.7,-0.0001,-0.0067567567567567,443.2039999999997,0.1468442861273524,0.0,0.0,0.01494,0.000279284800867,0.0147,0.0154,0.0148,-0.8593378488728599,3508.6942200000003,320.01006936248626,3018.1903,3895.3262,3530.0416,-0.1478075989740877,14.2,0.0,14.2,14.2,14.2,,0.0150999999999999,0.0003681787005768,0.0147,0.0159,0.01505,-1.0864289524986548,3094.81071,631.8769935122513,2097.8695,3895.3262,3239.7923,0.5801502408916114,14.06,0.3134042472944846,13.2,14.2,14.2,0.4467074113020942,0.015045,0.0003425523394469,0.0146,0.0159,0.015,-1.0071453622444415,3187.86505,638.020403529695,1991.2401,3993.189,3313.34015,0.4287155214578797,14.060000000000002,0.2521486612465357,13.2,14.4,14.0,0.5552280123474996,4.2468435335436935e-06,0.004102393073219,0.2087399999999999,0.0002889009206492,0.0,-8.546350280616052,-8.84876247880823,0.6478996917957782,0.0627886774270582,1
,0.0148,2097.8695,14.0,QTI,0,1,252,1,0,0.0148,0.0149,0.0153,0.015,0.015,0.015,0.015,3236.4899,3800.4584,3875.6068,3960.3366,3437.8065,3012.9022,2884.0842,14.0,14.0,14.0,14.0,14.4,14.3,12.7,0.0,0.0,-1138.6204000000002,-0.3518071846910445,0.0,0.0,0.01496,0.0002073644135221,0.0148,0.0153,0.0149,-0.7715885155141752,3214.88312,715.9624479949823,2097.8695,3875.6068,3236.4899,-1.5601567137049464,14.0,0.0,14.0,14.0,14.0,,0.01501,0.0003034981237405,0.0146,0.0156,0.01495,-0.6919317899294285,3195.23381,759.2039568503856,1991.2401,3993.189,3313.34015,-1.4454143713271703,14.02,0.1475729574745247,13.8,14.4,14.0,-0.1355261854357844,0.01497,0.0003450400434389,0.0145,0.0159,0.0149,-0.4926964369283963,3314.51007,582.5436492779872,1991.2401,3993.189,3457.31655,-2.088496838834173,14.03,0.4117996446919548,13.2,14.4,14.0,-0.0728509613514662,7.054776286132193e-06,0.0066734370274223,0.2072,0.0004766740733873,0.0,-8.48221963051962,-8.871755552978076,0.3306292241638239,0.0627726649924412,1
,0.015,3530.0416,14.2,QTI,2,1,252,1,0,0.0151,0.0152,0.0153,0.0148,0.0153,0.0151,0.0153,3617.461,2911.6656,2266.6518,3236.4899,2542.9664,3727.2671,3830.5218,14.2,14.2,13.2,14.0,14.0,13.2,12.7,-0.0001,-0.0066225165562914,-87.41939999999977,-0.024165955071803,0.0,0.0,0.0153,0.0003535533905869,0.015,0.0159,0.0152,-0.8485281374391401,2967.36162,600.3355432230807,2266.6518,3617.461,2911.6656,0.937275805758701,13.96,0.4335896677735738,13.2,14.2,14.2,0.5535187248173343,0.01513,0.0003267686915551,0.0148,0.0159,0.01505,-0.3978349314351727,3091.12237,636.4124427873132,2097.8695,3875.6068,3150.24045,0.6896773232114275,13.98,0.2898275349237892,13.2,14.2,14.0,0.7590721152765845,0.01501,0.0003522857691637,0.0145,0.0159,0.015,-0.0283860458619661,3199.6168150000003,630.8708766069417,1991.2401,3993.189,3413.99845,0.523759769633284,14.1,0.2865401597645506,13.2,14.4,14.0,0.3489912202260563,4.249241708652952e-06,0.0040226154841914,0.213,0.0002832827805768,0.0,-8.353958330326758,-8.847604881630343,0.6478996917957782,0.0626382120599852,1
,0.0148,3018.1903,14.2,QTI,2,1,252,1,0,0.0148,0.0154,0.015,0.0153,0.015,0.015,0.0155,3895.3262,3638.5187,3530.0416,2266.6518,3063.991,2784.6516,3503.6553,14.2,14.2,14.2,13.2,14.0,14.4,12.7,0.0,0.0,-877.1358999999998,-0.2251764948465676,0.0,0.0,0.01502,0.0002489979919505,0.0148,0.0154,0.015,-0.8835412618255714,3539.907560000001,321.84908924951907,3018.1903,3895.3262,3617.461,-1.6209996468112733,14.2,0.0,14.2,14.2,14.2,,0.01511,0.000357304725227,0.0148,0.0159,0.01505,-0.8676067740303294,3072.32027,621.2932819600437,2097.8695,3895.3262,3127.3401000000003,-0.0871246665169657,14.04,0.3098386676965937,13.2,14.2,14.2,0.5163977794943163,0.01504,0.000348530750735,0.0146,0.0159,0.015,-0.6886049494738115,3204.52896,649.7843360410487,1991.2401,3993.189,3313.34015,-0.2867700091622835,14.07,0.2617753154701048,13.2,14.4,14.0,0.4966090854156452,4.903600677531831e-06,0.0047048060554697,0.2101599999999999,0.0003313243701035,0.0,-8.48221963051962,-8.856236213385241,0.6478996917957782,0.0624407062309898,1
