datetime,qber,secure_key_rate,channel_loss,source,z_qber,z_rate
2025-07-03T00:12:35Z,0.0313,488597,NA,Toshiba_2025,3.6011604390326077,-1.6875372828841662
2025-07-03T05:03:50Z,0.0311,494720,NA,Toshiba_2025,3.374997846463239,-1.4625868663889074
2025-07-03T18:02:46Z,0.0312,429070,NA,Toshiba_2025,3.4880791427479214,-3.8744756207435915
2025-07-03T20:31:05Z,0.0318,497577,NA,Toshiba_2025,4.166566920456024,-1.3576247007957416
2025-07-03T20:50:44Z,0.0314,491144,NA,Toshiba_2025,3.714241735317286,-1.5939640817060796
2025-07-04T01:02:07Z,0.0311,504581,NA,Toshiba_2025,3.374997846463239,-1.1003075822047255
2025-07-04T02:27:47Z,0.0313,521371,NA,Toshiba_2025,3.6011604390326077,-0.48346657404607885
2025-07-04T04:54:19Z,0.0316,502518,NA,Toshiba_2025,3.9404043278866587,-1.1760993034573335
2025-07-04T07:01:00Z,0.0315,500311,NA,Toshiba_2025,3.8273230316019724,-1.2571813823737201
2025-07-04T08:50:20Z,0.0366,358449,NA,Toshiba_2025,9.59446914212081,-6.4689919302833045
2025-07-04T08:51:19Z,0.038,399329,NA,Toshiba_2025,11.177607290106371,-4.967118171288339
2025-07-04T16:05:22Z,0.0308,509602,NA,Toshiba_2025,3.0357539576091916,-0.9158430972753291
2025-07-05T01:10:01Z,0.0312,527067,NA,Toshiba_2025,3.4880791427479214,-0.27420353756771965
2025-07-05T07:47:29Z,0.0323,461249,NA,Toshiba_2025,4.73197340187944,-2.692264375863479
2025-07-05T07:48:25Z,0.0328,481278,NA,Toshiba_2025,5.297379883302855,-1.9564270588646981
2025-07-05T12:07:47Z,0.0275,616821,NA,Toshiba_2025,-0.6959288197853506,3.023232307951707
2025-07-06T10:08:21Z,0.0317,495398,NA,Toshiba_2025,4.053485624171337,-1.4376780990552824
