source,asimetria_qber,curtosis_qber,asimetria_rate,curtosis_rate
QTI,0.5008033322026009,2.6539874197468025,-1.508921997884846,5.901364725539516
Toshiba_2024,-8.43185059415321,76.7973399896774,-8.14358639355633,73.5640370961737
Toshiba_2025,3.4237439924212563,64.21675009907399,-1.200026501828047,12.412340880703109
