source,media_abs_delta_qber,media_abs_delta_rate
QTI,3.1276595744680836e-4,522.7892734042554
Toshiba_2024,0.001065909090909091,15060.522727272728
Toshiba_2025,7.52439024390244e-4,15676.563833841463
