source,registros,qber_promedio,qber_sd,qber_min,qber_max,keyrate_promedio,keyrate_sd,keyrate_min,keyrate_max,perdida_promedio,perdida_sd
QTI,95,0.015172631578947368,3.7655835219681743e-4,0.0145,0.0162,3392.6741368421053,537.3360017392341,1072.7657,4218.231,13.791578947368421,0.6303769824300407
Toshiba_2024,89,0.03125505617977528,0.0034375602882632224,0,0.0334,342528.78651685396,38082.495423652894,0,382262,NA,NA
Toshiba_2025,10497,0.028115423454320283,8.843195407686979e-4,0.0256,0.0498,534530.6370391541,27219.33168827476,143217,616821,NA,NA
